Index,Strike,Mid,IV,Delta,Type,Maturity,Tau
404,293,17.78,17.24%,0.8591,Call,8/22/2025,0.098630137
405,294,16.98,17.40%,0.8421,Call,8/22/2025,0.098630137
406,295,16.03,16.85%,0.8336,Call,8/22/2025,0.098630137
407,296,14.77,14.99%,0.8433,Call,8/22/2025,0.098630137
408,297,14.38,16.65%,0.8013,Call,8/22/2025,0.098630137
409,298,13.52,16.37%,0.7859,Call,8/22/2025,0.098630137
410,299,12.83,16.57%,0.7634,Call,8/22/2025,0.098630137
411,300,12.1,16.60%,0.7422,Call,8/22/2025,0.098630137
412,301,11.4,16.64%,0.7201,Call,8/22/2025,0.098630137
413,302,10.63,16.91%,0.6952,Call,8/22/2025,0.098630137
414,303,9.95,16.35%,0.6772,Call,8/22/2025,0.098630137
415,304,9.3,16.40%,0.6528,Call,8/22/2025,0.098630137
416,305,8.7,15.83%,0.632,Call,8/22/2025,0.098630137
417,306,8.08,16.31%,0.6037,Call,8/22/2025,0.098630137
418,307,7.48,16.16%,0.5788,Call,8/22/2025,0.098630137
419,308,6.93,16.21%,0.5528,Call,8/22/2025,0.098630137
420,309,6.43,16.26%,0.5267,Call,8/22/2025,0.098630137
421,310,5.93,16.17%,0.5007,Call,8/22/2025,0.098630137
422,311,5.48,16.34%,0.4751,Call,8/22/2025,0.098630137
423,312,5.08,16.59%,0.4506,Call,8/22/2025,0.098630137
424,313,4.68,16.43%,0.4248,Call,8/22/2025,0.098630137
425,314,4.28,16.41%,0.3998,Call,8/22/2025,0.098630137
426,315,3.93,16.38%,0.3753,Call,8/22/2025,0.098630137
427,316,3.6,16.51%,0.3528,Call,8/22/2025,0.098630137
428,317,3.3,16.57%,0.3304,Call,8/22/2025,0.098630137
429,318,3.01,16.62%,0.3087,Call,8/22/2025,0.098630137
430,319,2.76,16.79%,0.2894,Call,8/22/2025,0.098630137
431,320,2.51,16.69%,0.2676,Call,8/22/2025,0.098630137
432,321,2.28,16.75%,0.2486,Call,8/22/2025,0.098630137
433,322,2.07,16.81%,0.2306,Call,8/22/2025,0.098630137
434,323,1.88,16.85%,0.2132,Call,8/22/2025,0.098630137
435,324,1.7,16.90%,0.1969,Call,8/22/2025,0.098630137
436,325,1.55,17.00%,0.1823,Call,8/22/2025,0.098630137
437,326,1.39,17.00%,0.1671,Call,8/22/2025,0.098630137
438,327,1.26,17.06%,0.1535,Call,8/22/2025,0.098630137
439,328,1.14,17.10%,0.1407,Call,8/22/2025,0.098630137
440,289,0.55,16.22%,-0.079,Put,8/22/2025,0.098630137
441,290,0.63,16.24%,-0.0901,Put,8/22/2025,0.098630137
442,291,0.72,15.97%,-0.0984,Put,8/22/2025,0.098630137
443,292,0.81,15.95%,-0.111,Put,8/22/2025,0.098630137
444,293,0.92,15.70%,-0.1214,Put,8/22/2025,0.098630137
445,294,1.06,15.81%,-0.1379,Put,8/22/2025,0.098630137
446,295,1.18,15.64%,-0.1517,Put,8/22/2025,0.098630137
447,296,1.42,15.63%,-0.1691,Put,8/22/2025,0.098630137
448,297,1.59,15.67%,-0.1882,Put,8/22/2025,0.098630137
449,298,1.71,15.50%,-0.2055,Put,8/22/2025,0.098630137
450,299,2.02,15.66%,-0.2287,Put,8/22/2025,0.098630137
451,300,2.28,15.62%,-0.2501,Put,8/22/2025,0.098630137
452,301,2.55,15.74%,-0.2748,Put,8/22/2025,0.098630137
453,302,2.84,15.73%,-0.2985,Put,8/22/2025,0.098630137
454,303,3.1,15.40%,-0.32,Put,8/22/2025,0.098630137
455,304,3.55,15.66%,-0.348,Put,8/22/2025,0.098630137
456,305,3.95,15.87%,-0.3757,Put,8/22/2025,0.098630137
457,306,4.38,15.92%,-0.4023,Put,8/22/2025,0.098630137
458,307,4.8,15.71%,-0.4288,Put,8/22/2025,0.098630137
459,308,5.28,15.73%,-0.4561,Put,8/22/2025,0.098630137
460,309,5.75,15.58%,-0.4841,Put,8/22/2025,0.098630137
461,310,6.32,15.86%,-0.512,Put,8/22/2025,0.098630137
462,311,6.83,15.94%,-0.5393,Put,8/22/2025,0.098630137
463,312,7.4,15.96%,-0.5666,Put,8/22/2025,0.098630137
464,313,8.05,16.10%,-0.5926,Put,8/22/2025,0.098630137
465,314,8.65,16.04%,-0.6199,Put,8/22/2025,0.098630137
466,315,9.35,16.18%,-0.645,Put,8/22/2025,0.098630137
467,316,10.1,16.41%,-0.6678,Put,8/22/2025,0.098630137
468,317,10.83,16.50%,-0.6901,Put,8/22/2025,0.098630137
469,318,11.55,16.53%,-0.7134,Put,8/22/2025,0.098630137
470,319,12.3,16.56%,-0.7402,Put,8/22/2025,0.098630137
471,320,13,16.33%,-0.7643,Put,8/22/2025,0.098630137
472,321,13.8,16.38%,-0.7832,Put,8/22/2025,0.098630137
473,322,14.6,16.36%,-0.8047,Put,8/22/2025,0.098630137
474,323,15.55,16.88%,-0.8169,Put,8/22/2025,0.098630137
475,324,16.38,16.82%,-0.8403,Put,8/22/2025,0.098630137
476,325,17.23,16.78%,-0.8558,Put,8/22/2025,0.098630137
477,326,18.18,17.18%,-0.8639,Put,8/22/2025,0.098630137
478,327,19,16.85%,-0.8908,Put,8/22/2025,0.098630137
479,328,19.95,17.15%,-0.8981,Put,8/22/2025,0.098630137
480,289,21.63,16.55%,0.9009,Call,8/29/2025,0.117808219
481,290,20.7,16.32%,0.8927,Call,8/29/2025,0.117808219
482,291,19.88,16.55%,0.8776,Call,8/29/2025,0.117808219
483,292,19,16.46%,0.8658,Call,8/29/2025,0.117808219
484,293,18.15,16.42%,0.8524,Call,8/29/2025,0.117808219
485,294,17.2,15.93%,0.8446,Call,8/29/2025,0.117808219
486,295,16.38,15.91%,0.8292,Call,8/29/2025,0.117808219
487,296,15.52,15.74%,0.8151,Call,8/29/2025,0.117808219
488,297,14.83,16.04%,0.7934,Call,8/29/2025,0.117808219
489,298,14.03,15.93%,0.7766,Call,8/29/2025,0.117808219
490,299,13.3,15.68%,0.7605,Call,8/29/2025,0.117808219
491,300,12.55,15.92%,0.7375,Call,8/29/2025,0.117808219
492,301,11.83,15.87%,0.7174,Call,8/29/2025,0.117808219
493,302,11.18,15.96%,0.695,Call,8/29/2025,0.117808219
494,303,10.5,15.93%,0.6733,Call,8/29/2025,0.117808219
495,304,9.85,15.77%,0.652,Call,8/29/2025,0.117808219
496,305,9.28,16.00%,0.6272,Call,8/29/2025,0.117808219
497,306,8.65,15.92%,0.6043,Call,8/29/2025,0.117808219
498,307,8.15,16.34%,0.5791,Call,8/29/2025,0.117808219
499,308,7.63,15.95%,0.5565,Call,8/29/2025,0.117808219
500,309,7.13,16.00%,0.5325,Call,8/29/2025,0.117808219
501,310,6.63,16.18%,0.5086,Call,8/29/2025,0.117808219
502,311,6.18,16.05%,0.4846,Call,8/29/2025,0.117808219
503,312,5.73,16.23%,0.4616,Call,8/29/2025,0.117808219
504,313,5.33,16.30%,0.4386,Call,8/29/2025,0.117808219
505,314,4.93,16.29%,0.4157,Call,8/29/2025,0.117808219
506,315,4.58,16.39%,0.3938,Call,8/29/2025,0.117808219
507,316,4.23,16.60%,0.3737,Call,8/29/2025,0.117808219
508,317,3.9,16.40%,0.3504,Call,8/29/2025,0.117808219
509,318,3.6,16.50%,0.3305,Call,8/29/2025,0.117808219
510,319,3.33,16.63%,0.3118,Call,8/29/2025,0.117808219
511,320,3.05,16.72%,0.2933,Call,8/29/2025,0.117808219
512,321,2.8,16.63%,0.2732,Call,8/29/2025,0.117808219
513,322,2.58,16.68%,0.2556,Call,8/29/2025,0.117808219
514,323,2.37,16.84%,0.2405,Call,8/29/2025,0.117808219
515,324,2.17,16.78%,0.2228,Call,8/29/2025,0.117808219
516,325,1.98,16.82%,0.2074,Call,8/29/2025,0.117808219
517,326,1.81,16.87%,0.1929,Call,8/29/2025,0.117808219
518,327,1.68,17.01%,0.1806,Call,8/29/2025,0.117808219
519,328,1.51,17.09%,0.168,Call,8/29/2025,0.117808219
520,289,0.74,16.15%,-0.0953,Put,8/29/2025,0.117808219
521,290,0.83,15.93%,-0.1037,Put,8/29/2025,0.117808219
522,291,0.93,15.83%,-0.1145,Put,8/29/2025,0.117808219
523,292,1.04,15.64%,-0.1248,Put,8/29/2025,0.117808219
524,293,1.17,15.63%,-0.1387,Put,8/29/2025,0.117808219
525,294,1.33,15.72%,-0.1551,Put,8/29/2025,0.117808219
526,295,1.48,15.47%,-0.1673,Put,8/29/2025,0.117808219
527,296,1.65,15.58%,-0.186,Put,8/29/2025,0.117808219
528,297,1.84,15.45%,-0.2022,Put,8/29/2025,0.117808219
529,298,2.06,15.46%,-0.2214,Put,8/29/2025,0.117808219
530,299,2.3,15.51%,-0.2421,Put,8/29/2025,0.117808219
531,300,2.56,15.39%,-0.2615,Put,8/29/2025,0.117808219
532,301,2.85,15.40%,-0.2833,Put,8/29/2025,0.117808219
533,302,3.15,15.48%,-0.3066,Put,8/29/2025,0.117808219
534,303,3.5,15.33%,-0.3285,Put,8/29/2025,0.117808219
535,304,3.85,15.39%,-0.3528,Put,8/29/2025,0.117808219
536,305,4.25,15.30%,-0.377,Put,8/29/2025,0.117808219
537,306,4.68,15.46%,-0.403,Put,8/29/2025,0.117808219
538,307,5.13,15.51%,-0.4285,Put,8/29/2025,0.117808219
539,308,5.65,15.45%,-0.4543,Put,8/29/2025,0.117808219
540,309,6.15,15.46%,-0.4803,Put,8/29/2025,0.117808219
541,310,6.63,15.45%,-0.506,Put,8/29/2025,0.117808219
542,311,7.2,15.70%,-0.5313,Put,8/29/2025,0.117808219
543,312,7.78,15.48%,-0.5583,Put,8/29/2025,0.117808219
544,313,8.38,15.55%,-0.5834,Put,8/29/2025,0.117808219
545,314,9,15.80%,-0.6067,Put,8/29/2025,0.117808219
546,315,9.53,15.51%,-0.6347,Put,8/29/2025,0.117808219
547,316,10.33,15.87%,-0.6543,Put,8/29/2025,0.117808219
548,317,11.03,15.92%,-0.6769,Put,8/29/2025,0.117808219
549,318,11.75,15.97%,-0.7002,Put,8/29/2025,0.117808219
550,319,12.38,15.66%,-0.7299,Put,8/29/2025,0.117808219
551,320,13.28,16.11%,-0.7437,Put,8/29/2025,0.117808219
552,321,14.05,16.14%,-0.7624,Put,8/29/2025,0.117808219
553,322,14.7,15.67%,-0.7952,Put,8/29/2025,0.117808219
554,323,15.58,15.89%,-0.8144,Put,8/29/2025,0.117808219
555,324,16.42,15.95%,-0.8293,Put,8/29/2025,0.117808219
556,325,17.25,15.86%,-0.8459,Put,8/29/2025,0.117808219
557,326,18.13,15.89%,-0.8677,Put,8/29/2025,0.117808219
558,327,19,15.84%,-0.885,Put,8/29/2025,0.117808219
559,328,19.9,15.85%,-0.8975,Put,8/29/2025,0.117808219
560,289,23.1,17.42%,0.8517,Call,9/19/2025,0.175342466
561,290,22.2,16.57%,0.8516,Call,9/19/2025,0.175342466
562,291,21.45,17.15%,0.8319,Call,9/19/2025,0.175342466
563,292,20.55,17.12%,0.8198,Call,9/19/2025,0.175342466
564,293,19.6,16.06%,0.8209,Call,9/19/2025,0.175342466
565,294,18.83,16.10%,0.8065,Call,9/19/2025,0.175342466
566,295,18.1,16.78%,0.7835,Call,9/19/2025,0.175342466
567,296,17.3,15.73%,0.7822,Call,9/19/2025,0.175342466
568,297,16.58,16.17%,0.761,Call,9/19/2025,0.175342466
569,298,15.8,16.27%,0.7439,Call,9/19/2025,0.175342466
570,299,15.08,16.02%,0.7304,Call,9/19/2025,0.175342466
571,300,14.3,15.60%,0.7179,Call,9/19/2025,0.175342466
572,301,13.7,15.78%,0.6983,Call,9/19/2025,0.175342466
573,302,13.08,16.08%,0.6776,Call,9/19/2025,0.175342466
574,303,12.4,16.01%,0.6601,Call,9/19/2025,0.175342466
575,304,11.88,16.21%,0.6403,Call,9/19/2025,0.175342466
576,305,11.2,16.26%,0.6214,Call,9/19/2025,0.175342466
577,306,10.65,16.12%,0.6034,Call,9/19/2025,0.175342466
578,307,10,15.75%,0.5857,Call,9/19/2025,0.175342466
579,308,9.48,15.99%,0.5655,Call,9/19/2025,0.175342466
580,309,8.98,16.04%,0.546,Call,9/19/2025,0.175342466
581,310,8.48,16.05%,0.5265,Call,9/19/2025,0.175342466
582,311,8.03,15.98%,0.507,Call,9/19/2025,0.175342466
583,312,7.58,16.16%,0.488,Call,9/19/2025,0.175342466
584,313,7.13,16.05%,0.4685,Call,9/19/2025,0.175342466
585,314,6.73,16.22%,0.4502,Call,9/19/2025,0.175342466
586,315,6.35,16.29%,0.4318,Call,9/19/2025,0.175342466
587,316,5.98,16.33%,0.4136,Call,9/19/2025,0.175342466
588,317,5.63,16.38%,0.3958,Call,9/19/2025,0.175342466
589,318,5.3,16.45%,0.3786,Call,9/19/2025,0.175342466
590,319,4.98,16.33%,0.3599,Call,9/19/2025,0.175342466
591,320,4.68,16.49%,0.3443,Call,9/19/2025,0.175342466
592,321,4.38,16.55%,0.3283,Call,9/19/2025,0.175342466
593,322,4.1,16.71%,0.3139,Call,9/19/2025,0.175342466
594,323,3.85,16.67%,0.2976,Call,9/19/2025,0.175342466
595,324,3.6,16.82%,0.2841,Call,9/19/2025,0.175342466
596,325,3.38,16.83%,0.2693,Call,9/19/2025,0.175342466
597,326,3.15,16.80%,0.2545,Call,9/19/2025,0.175342466
598,327,2.96,16.87%,0.2416,Call,9/19/2025,0.175342466
599,328,2.76,16.93%,0.2289,Call,9/19/2025,0.175342466
600,289,1.3,15.78%,-0.1288,Put,9/19/2025,0.175342466
601,290,1.43,15.75%,-0.1401,Put,9/19/2025,0.175342466
602,291,1.66,15.58%,-0.1499,Put,9/19/2025,0.175342466
603,292,1.81,15.64%,-0.1637,Put,9/19/2025,0.175342466
604,293,1.9,15.48%,-0.1751,Put,9/19/2025,0.175342466
605,294,2.09,15.50%,-0.1899,Put,9/19/2025,0.175342466
606,295,2.39,15.55%,-0.2054,Put,9/19/2025,0.175342466
607,296,2.51,15.44%,-0.2195,Put,9/19/2025,0.175342466
608,297,2.75,15.35%,-0.2346,Put,9/19/2025,0.175342466
609,298,3.01,15.40%,-0.2522,Put,9/19/2025,0.175342466
610,299,3.3,15.41%,-0.2699,Put,9/19/2025,0.175342466
611,300,3.6,15.53%,-0.2893,Put,9/19/2025,0.175342466
612,301,3.9,15.42%,-0.3067,Put,9/19/2025,0.175342466
613,302,4.25,15.52%,-0.3268,Put,9/19/2025,0.175342466
614,303,4.73,15.50%,-0.3462,Put,9/19/2025,0.175342466
615,304,5.13,15.38%,-0.3652,Put,9/19/2025,0.175342466
616,305,5.48,15.55%,-0.387,Put,9/19/2025,0.175342466
617,306,5.98,15.61%,-0.4074,Put,9/19/2025,0.175342466
618,307,6.38,15.55%,-0.4279,Put,9/19/2025,0.175342466
619,308,6.78,15.71%,-0.4495,Put,9/19/2025,0.175342466
620,309,7.28,15.49%,-0.4699,Put,9/19/2025,0.175342466
621,310,7.88,15.88%,-0.4908,Put,9/19/2025,0.175342466
622,311,8.5,15.99%,-0.5114,Put,9/19/2025,0.175342466
623,312,8.98,16.00%,-0.5322,Put,9/19/2025,0.175342466
624,313,9.58,15.92%,-0.5532,Put,9/19/2025,0.175342466
625,314,10.18,15.79%,-0.5755,Put,9/19/2025,0.175342466
626,315,10.8,15.98%,-0.5939,Put,9/19/2025,0.175342466
627,316,11.45,15.80%,-0.6159,Put,9/19/2025,0.175342466
628,317,12.13,15.83%,-0.6358,Put,9/19/2025,0.175342466
629,318,12.83,15.88%,-0.6565,Put,9/19/2025,0.175342466
630,319,13.5,15.86%,-0.6787,Put,9/19/2025,0.175342466
631,320,14.23,16.10%,-0.6936,Put,9/19/2025,0.175342466
632,321,15,15.93%,-0.7134,Put,9/19/2025,0.175342466
633,322,15.75,15.91%,-0.7305,Put,9/19/2025,0.175342466
634,323,16.53,15.86%,-0.7548,Put,9/19/2025,0.175342466
635,324,17.3,15.94%,-0.7758,Put,9/19/2025,0.175342466
636,325,18.15,16.62%,-0.7803,Put,9/19/2025,0.175342466
637,326,19,16.76%,-0.7921,Put,9/19/2025,0.175342466
638,327,19.78,16.64%,-0.8072,Put,9/19/2025,0.175342466
639,328,20.7,16.94%,-0.8154,Put,9/19/2025,0.175342466
640,289,23.6,16.07%,0.8557,Call,9/30/2025,0.205479452
641,290,22.73,15.92%,0.8466,Call,9/30/2025,0.205479452
642,291,22.03,16.25%,0.8303,Call,9/30/2025,0.205479452
643,292,21.1,15.90%,0.8229,Call,9/30/2025,0.205479452
644,293,20.38,16.08%,0.8078,Call,9/30/2025,0.205479452
645,294,19.53,15.88%,0.7972,Call,9/30/2025,0.205479452
646,295,18.75,16.46%,0.776,Call,9/30/2025,0.205479452
647,296,18.05,15.96%,0.7681,Call,9/30/2025,0.205479452
648,297,17.3,16.01%,0.7528,Call,9/30/2025,0.205479452
649,298,16.43,15.57%,0.743,Call,9/30/2025,0.205479452
650,299,15.77,16.03%,0.7222,Call,9/30/2025,0.205479452
651,300,15.2,16.16%,0.705,Call,9/30/2025,0.205479452
652,301,14.53,15.91%,0.6912,Call,9/30/2025,0.205479452
653,302,13.88,15.92%,0.6746,Call,9/30/2025,0.205479452
654,303,13.08,15.54%,0.6607,Call,9/30/2025,0.205479452
655,304,12.48,15.63%,0.6425,Call,9/30/2025,0.205479452
656,305,11.98,15.49%,0.6257,Call,9/30/2025,0.205479452
657,306,11.4,15.84%,0.6059,Call,9/30/2025,0.205479452
658,307,10.77,15.72%,0.5885,Call,9/30/2025,0.205479452
659,308,10.25,15.76%,0.5703,Call,9/30/2025,0.205479452
660,309,9.73,15.77%,0.5522,Call,9/30/2025,0.205479452
661,310,9.23,15.79%,0.534,Call,9/30/2025,0.205479452
662,311,8.77,15.87%,0.5159,Call,9/30/2025,0.205479452
663,312,8.33,15.91%,0.4979,Call,9/30/2025,0.205479452
664,313,7.88,15.92%,0.48,Call,9/30/2025,0.205479452
665,314,7.48,16.00%,0.4625,Call,9/30/2025,0.205479452
666,315,7.08,16.01%,0.445,Call,9/30/2025,0.205479452
667,316,6.73,16.14%,0.4283,Call,9/30/2025,0.205479452
668,317,6.33,16.12%,0.4111,Call,9/30/2025,0.205479452
669,318,6,16.20%,0.3949,Call,9/30/2025,0.205479452
670,319,5.68,16.26%,0.3788,Call,9/30/2025,0.205479452
671,320,5.35,16.39%,0.3638,Call,9/30/2025,0.205479452
672,321,5.08,16.39%,0.3479,Call,9/30/2025,0.205479452
673,322,4.78,16.41%,0.3326,Call,9/30/2025,0.205479452
674,323,4.5,16.46%,0.3179,Call,9/30/2025,0.205479452
675,324,4.25,16.52%,0.3039,Call,9/30/2025,0.205479452
676,325,4,16.56%,0.2901,Call,9/30/2025,0.205479452
677,326,3.78,16.63%,0.2769,Call,9/30/2025,0.205479452
678,327,3.55,16.67%,0.2639,Call,9/30/2025,0.205479452
679,328,3.35,16.75%,0.2517,Call,9/30/2025,0.205479452
680,289,1.65,15.79%,-0.1439,Put,9/30/2025,0.205479452
681,290,1.71,15.46%,-0.1507,Put,9/30/2025,0.205479452
682,291,1.87,15.47%,-0.1631,Put,9/30/2025,0.205479452
683,292,2.04,15.40%,-0.1747,Put,9/30/2025,0.205479452
684,293,2.32,15.62%,-0.1911,Put,9/30/2025,0.205479452
685,294,2.52,15.42%,-0.2021,Put,9/30/2025,0.205479452
686,295,2.65,15.25%,-0.2142,Put,9/30/2025,0.205479452
687,296,3,15.32%,-0.2301,Put,9/30/2025,0.205479452
688,297,3.15,15.40%,-0.2467,Put,9/30/2025,0.205479452
689,298,3.4,15.27%,-0.2612,Put,9/30/2025,0.205479452
690,299,3.7,15.29%,-0.2782,Put,9/30/2025,0.205479452
691,300,4.05,15.49%,-0.2975,Put,9/30/2025,0.205479452
692,301,4.35,15.33%,-0.3134,Put,9/30/2025,0.205479452
693,302,4.7,15.34%,-0.3315,Put,9/30/2025,0.205479452
694,303,5.08,15.36%,-0.3501,Put,9/30/2025,0.205479452
695,304,5.58,15.25%,-0.368,Put,9/30/2025,0.205479452
696,305,5.88,15.39%,-0.3879,Put,9/30/2025,0.205479452
697,306,6.33,15.44%,-0.407,Put,9/30/2025,0.205479452
698,307,6.78,15.36%,-0.4264,Put,9/30/2025,0.205479452
699,308,7.38,15.72%,-0.4466,Put,9/30/2025,0.205479452
700,309,7.88,15.34%,-0.4662,Put,9/30/2025,0.205479452
701,310,8.27,15.67%,-0.4853,Put,9/30/2025,0.205479452
702,311,8.83,15.63%,-0.5051,Put,9/30/2025,0.205479452
703,312,9.5,15.60%,-0.5256,Put,9/30/2025,0.205479452
704,313,10.03,15.81%,-0.5442,Put,9/30/2025,0.205479452
705,314,10.63,15.86%,-0.563,Put,9/30/2025,0.205479452
706,315,11.25,15.72%,-0.5834,Put,9/30/2025,0.205479452
707,316,11.9,15.75%,-0.6025,Put,9/30/2025,0.205479452
708,317,12.58,16.06%,-0.6178,Put,9/30/2025,0.205479452
709,318,13.28,15.85%,-0.6411,Put,9/30/2025,0.205479452
710,319,14,16.27%,-0.6563,Put,9/30/2025,0.205479452
711,320,14.7,16.30%,-0.6725,Put,9/30/2025,0.205479452
712,321,15.38,16.24%,-0.6898,Put,9/30/2025,0.205479452
713,322,16.18,16.42%,-0.7033,Put,9/30/2025,0.205479452
714,323,16.95,16.51%,-0.7174,Put,9/30/2025,0.205479452
715,324,17.7,15.98%,-0.7544,Put,9/30/2025,0.205479452
716,325,18.5,16.61%,-0.7595,Put,9/30/2025,0.205479452
717,326,19.28,16.58%,-0.7734,Put,9/30/2025,0.205479452
718,327,20.05,16.53%,-0.7873,Put,9/30/2025,0.205479452
719,328,20.85,16.50%,-0.8002,Put,9/30/2025,0.205479452
720,289,24.45,15.43%,0.8479,Call,10/17/2025,0.252054795
721,290,23.73,16.05%,0.8285,Call,10/17/2025,0.252054795
722,291,22.9,15.60%,0.8234,Call,10/17/2025,0.252054795
723,292,22.15,15.33%,0.8155,Call,10/17/2025,0.252054795
724,293,21.3,15.52%,0.8007,Call,10/17/2025,0.252054795
725,294,20.55,15.55%,0.7877,Call,10/17/2025,0.252054795
726,295,19.83,15.60%,0.774,Call,10/17/2025,0.252054795
727,296,19.08,15.57%,0.7611,Call,10/17/2025,0.252054795
728,297,18.28,15.41%,0.7493,Call,10/17/2025,0.252054795
729,298,17.65,15.58%,0.7332,Call,10/17/2025,0.252054795
730,299,16.95,15.56%,0.7189,Call,10/17/2025,0.252054795
731,300,16.3,15.90%,0.7008,Call,10/17/2025,0.252054795
732,301,15.65,15.63%,0.6884,Call,10/17/2025,0.252054795
733,302,14.95,15.53%,0.674,Call,10/17/2025,0.252054795
734,303,14.48,15.81%,0.6563,Call,10/17/2025,0.252054795
735,304,13.8,15.70%,0.6415,Call,10/17/2025,0.252054795
736,305,13.23,15.74%,0.6254,Call,10/17/2025,0.252054795
737,306,12.65,15.75%,0.6094,Call,10/17/2025,0.252054795
738,307,12.15,15.86%,0.5928,Call,10/17/2025,0.252054795
739,308,11.63,15.77%,0.577,Call,10/17/2025,0.252054795
740,309,11.13,15.95%,0.5604,Call,10/17/2025,0.252054795
741,310,10.63,15.85%,0.5443,Call,10/17/2025,0.252054795
742,311,10.15,16.01%,0.5281,Call,10/17/2025,0.252054795
743,312,9.58,15.86%,0.5118,Call,10/17/2025,0.252054795
744,313,9.25,16.02%,0.496,Call,10/17/2025,0.252054795
745,314,8.83,16.14%,0.4804,Call,10/17/2025,0.252054795
746,315,8.43,16.08%,0.4643,Call,10/17/2025,0.252054795
747,316,8.03,16.27%,0.4496,Call,10/17/2025,0.252054795
748,317,7.68,16.33%,0.4345,Call,10/17/2025,0.252054795
749,318,7.33,16.39%,0.4197,Call,10/17/2025,0.252054795
750,319,6.98,16.44%,0.405,Call,10/17/2025,0.252054795
751,320,6.63,16.42%,0.39,Call,10/17/2025,0.252054795
752,321,6.33,16.67%,0.3778,Call,10/17/2025,0.252054795
753,322,6,16.56%,0.3625,Call,10/17/2025,0.252054795
754,323,5.73,16.64%,0.3493,Call,10/17/2025,0.252054795
755,324,5.43,16.66%,0.3357,Call,10/17/2025,0.252054795
756,325,5.18,16.75%,0.3232,Call,10/17/2025,0.252054795
757,326,4.9,16.76%,0.3103,Call,10/17/2025,0.252054795
758,327,4.65,16.81%,0.298,Call,10/17/2025,0.252054795
759,328,4.43,16.87%,0.2863,Call,10/17/2025,0.252054795
760,289,2.05,15.60%,-0.1593,Put,10/17/2025,0.252054795
761,290,2.23,15.51%,-0.1693,Put,10/17/2025,0.252054795
762,291,2.41,15.55%,-0.1817,Put,10/17/2025,0.252054795
763,292,2.61,15.52%,-0.1934,Put,10/17/2025,0.252054795
764,293,2.82,15.51%,-0.206,Put,10/17/2025,0.252054795
765,294,3.05,15.53%,-0.2192,Put,10/17/2025,0.252054795
766,295,3.3,15.51%,-0.2326,Put,10/17/2025,0.252054795
767,296,3.55,15.49%,-0.2464,Put,10/17/2025,0.252054795
768,297,3.85,15.54%,-0.2613,Put,10/17/2025,0.252054795
769,298,4.1,15.45%,-0.2758,Put,10/17/2025,0.252054795
770,299,4.43,15.49%,-0.2912,Put,10/17/2025,0.252054795
771,300,4.78,15.58%,-0.3076,Put,10/17/2025,0.252054795
772,301,5.13,15.56%,-0.3237,Put,10/17/2025,0.252054795
773,302,5.5,15.57%,-0.3398,Put,10/17/2025,0.252054795
774,303,5.85,15.55%,-0.3561,Put,10/17/2025,0.252054795
775,304,6.3,15.51%,-0.3724,Put,10/17/2025,0.252054795
776,305,6.68,15.59%,-0.3903,Put,10/17/2025,0.252054795
777,306,7.13,15.70%,-0.408,Put,10/17/2025,0.252054795
778,307,7.58,15.65%,-0.4249,Put,10/17/2025,0.252054795
779,308,8.1,15.84%,-0.4429,Put,10/17/2025,0.252054795
780,309,8.6,15.79%,-0.4597,Put,10/17/2025,0.252054795
781,310,9.08,15.76%,-0.4774,Put,10/17/2025,0.252054795
782,311,9.5,15.64%,-0.4961,Put,10/17/2025,0.252054795
783,312,10.18,15.85%,-0.5134,Put,10/17/2025,0.252054795
784,313,10.78,15.93%,-0.5308,Put,10/17/2025,0.252054795
785,314,11.35,15.95%,-0.5483,Put,10/17/2025,0.252054795
786,315,11.98,16.02%,-0.5655,Put,10/17/2025,0.252054795
787,316,12.52,15.72%,-0.5851,Put,10/17/2025,0.252054795
788,317,13.18,15.99%,-0.6009,Put,10/17/2025,0.252054795
789,318,13.88,16.11%,-0.619,Put,10/17/2025,0.252054795
790,319,14.52,16.10%,-0.6363,Put,10/17/2025,0.252054795
791,320,15.1,16.20%,-0.6505,Put,10/17/2025,0.252054795
792,321,15.8,15.96%,-0.6683,Put,10/17/2025,0.252054795
793,322,16.65,16.25%,-0.6806,Put,10/17/2025,0.252054795
794,323,17.38,16.27%,-0.6949,Put,10/17/2025,0.252054795
795,324,18.13,16.32%,-0.713,Put,10/17/2025,0.252054795
796,325,18.9,16.38%,-0.7361,Put,10/17/2025,0.252054795
797,326,19.65,16.35%,-0.7494,Put,10/17/2025,0.252054795
798,327,20.45,16.40%,-0.7612,Put,10/17/2025,0.252054795
799,328,21.25,16.44%,-0.773,Put,10/17/2025,0.252054795
800,285,29.9,15.77%,0.8559,Call,11/21/2025,0.347945205
801,290,25.98,15.89%,0.8074,Call,11/21/2025,0.347945205
802,291,25.08,15.62%,0.8007,Call,11/21/2025,0.347945205
803,292,24.38,15.73%,0.7887,Call,11/21/2025,0.347945205
804,293,23.5,15.49%,0.781,Call,11/21/2025,0.347945205
805,294,22.98,15.87%,0.765,Call,11/21/2025,0.347945205
806,295,22.17,15.72%,0.7554,Call,11/21/2025,0.347945205
807,296,21.3,15.44%,0.7471,Call,11/21/2025,0.347945205
808,297,20.48,15.23%,0.7375,Call,11/21/2025,0.347945205
809,298,19.95,15.50%,0.7221,Call,11/21/2025,0.347945205
810,299,19.33,15.58%,0.7088,Call,11/21/2025,0.347945205
